date,cases (Nowcast RKI),min cases (Nowcast RKI),max cases (Nowcast RKI),7 day R value (Nowcast RKI),min 7 day R value (Nowcast RKI),max 7 day R value (Nowcast RKI),cases (mean of ±3 days of Nowcast RKI),R value calculated with cases (mean of ±3 days of Nowcast RKI),Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),min Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),max Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),"7 day R value (Nowcast RKI, -5 days incubation period)","min 7 day R value (Nowcast RKI, -5 days incubation period)","max 7 day R value (Nowcast RKI, -5 days incubation period)",Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value by Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value calculated with cases (mean of ±3 days of Nowcast RKI) -> minus 4 days,R value by Infections minus 4 days
2020-11-16,17897.0,17718.0,18088.0,1.04,1.04,1.05,18082.0,1.04215187660754,16771.0,16590.0,16957.0,0.95,0.95,0.96,17209.85714285714,0.9783869623042262,0.9962320588493702,0.9450598723426702
2020-11-17,18168.0,17983.0,18353.0,1.04,1.03,1.04,18072.0,1.0378942553932304,15749.0,15567.0,15940.0,0.94,0.94,0.94,16936.571428571428,0.962403035496686,0.9783869623042262,0.9516593922424442
2020-11-18,18737.0,18548.0,18918.0,1.02,1.02,1.03,17959.714285714286,1.0283088257766384,16052.0,15866.0,16226.0,0.94,0.93,0.94,16689.285714285714,0.9507201838327376,0.962403035496686,0.964604045789556
2020-11-19,18932.0,18744.0,19125.0,1.0,0.99,1.0,17752.85714285714,1.013822860217611,16212.0,16035.0,16381.0,0.94,0.93,0.94,16499.285714285714,0.9447362988232509,0.9507201838327376,0.9836552843458617
2020-11-20,18016.0,17828.0,18210.0,0.98,0.97,0.98,17489.285714285714,0.9962320588493702,16824.0,16628.0,17001.0,0.94,0.94,0.95,16418.14285714286,0.9450598723426702,0.9447362988232509,1.0069256745877548
2020-11-21,16771.0,16590.0,16957.0,0.95,0.95,0.96,17209.85714285714,0.9783869623042262,17201.0,17008.0,17374.0,0.96,0.95,0.96,16427.571428571428,0.9516593922424442,0.9450598723426702,1.0338352371062653
2020-11-22,15749.0,15567.0,15940.0,0.94,0.94,0.94,16936.571428571428,0.962403035496686,16686.0,16497.0,16859.0,0.98,0.98,0.98,16561.571428571428,0.964604045789556,0.9516593922424442,1.0622049394597548
2020-11-23,16052.0,15866.0,16226.0,0.94,0.93,0.94,16689.285714285714,0.9507201838327376,16203.0,16015.0,16380.0,1.0,1.0,1.01,16827.14285714286,0.9836552843458617,0.964604045789556,1.0892198921148042
2020-11-24,16212.0,16035.0,16381.0,0.94,0.93,0.94,16499.285714285714,0.9447362988232509,15815.0,15639.0,15985.0,1.03,1.03,1.04,17187.85714285714,1.0069256745877548,0.9836552843458617,1.1140846301614613
2020-11-25,16824.0,16628.0,17001.0,0.94,0.94,0.95,16418.14285714286,0.9450598723426702,16990.0,16799.0,17161.0,1.07,1.06,1.07,17692.0,1.0338352371062653,1.0069256745877548,1.1336737256214948
